learning_rate,weight_decay,num_epochs,batch_size,lora_dropout,filter_sources
0.0007179801711359036,0.0020329446566133965,2,64,0.03850909961869682,WASL|FCAT|AKDE&ED|OHAT|CSZ|MSA|AIMS|MDSA|MCAS|MEAP|TAKS|NYSEDREGENTS|TIMSS|NAEP|NCEOGA|MEA|VASoL|LEAP
0.000985925836259135,0.008966799222612018,4,32,0.03161574657132387,MDSA|TIMSS|VASoL|CSZ
0.0005285243957810425,0.0013761098970260937,2,128,0.023293869545379178,MEA|MDSA|MCAS|WASL|MSA|TAKS
7.02115315156761e-05,0.002630890810364525,4,128,0.075075048544475,FCAT|OHAT|TAKS|TIMSS|MCAS|VASoL|MEA|MSA|CSZ|NAEP|LEAP|WASL|NCEOGA|MEAP
1.318003735638682e-05,1.608987591213888e-05,3,64,0.08548149985139217,MSA|MEAP|MEA|CSZ
0.00011108580765324596,8.887873064048167e-06,3,64,0.03476895699460138,LEAP|AKDE&ED|MSA|NAEP|VASoL|TIMSS|MCAS|TAKS
1.114614834301385e-05,0.00574113542886001,2,32,0.09644648134514303,LEAP|ACTAAP|MEAP|TAKS|AIMS|MSA|NYSEDREGENTS|MEA|CSZ|AKDE&ED|TIMSS|MDSA|OHAT|NCEOGA|FCAT|MCAS|NAEP|VASoL
2.932330289454318e-05,0.0005253622435733999,2,128,0.007605135761996407,AKDE&ED|NCEOGA|OHAT|VASoL|WASL|FCAT|AIMS|MCAS|TAKS|MSA
1.012214184099042e-05,2.790795393613817e-05,3,128,0.04204753159749898,VASoL|AKDE&ED|NYSEDREGENTS|WASL|MEAP|MCAS|MEA|OHAT|MDSA|MSA|TIMSS|TAKS|CSZ|LEAP
6.150694725358952e-05,0.0001262601463712887,4,64,0.026298689819332234,AIMS|AKDE&ED|MEA|LEAP
4.963192342571102e-05,0.00283940215774402,4,128,0.09202220070754918,MEA|MCAS|AIMS|VASoL|MEAP|LEAP|MDSA|CSZ|TAKS|ACTAAP|NYSEDREGENTS|MSA|TIMSS
2.1312719677455727e-05,9.095090511092699e-05,4,32,0.06520182187151902,AIMS|FCAT|MEAP|MDSA|NYSEDREGENTS
0.00029429684356637505,1.6680580376874815e-06,4,32,0.06268769466190215,AIMS|NYSEDREGENTS|NAEP|WASL|OHAT|NCEOGA|AKDE&ED|LEAP|TIMSS|MSA|FCAT|MDSA|MCAS|MEAP|TAKS
2.8930472891421774e-05,7.743022698572878e-05,4,32,0.032113991705561507,AIMS|MEA
0.0002883235104811621,7.162671385529894e-06,3,64,0.048156576897325803,CSZ|ACTAAP|WASL|OHAT|FCAT|MSA|MEA|LEAP|NCEOGA
0.0008270372150823213,3.870644068875511e-05,4,128,0.08802389850140432,OHAT|TIMSS|MEA|MCAS|MSA|AIMS|ACTAAP|CSZ|NCEOGA|FCAT|NAEP|AKDE&ED|MEAP|LEAP|MDSA|NYSEDREGENTS
0.0002424229306452849,0.003521224165561556,4,128,0.08191811756568854,TAKS|MEAP|AKDE&ED|ACTAAP|FCAT|NYSEDREGENTS|CSZ|VASoL
5.034600084255325e-05,4.491714598252427e-05,4,32,0.07356520624356121,ACTAAP|MSA|MDSA|FCAT|VASoL|MCAS|WASL|AKDE&ED|NAEP|NCEOGA|LEAP|CSZ
0.0005819500320755852,0.0001554300242296981,3,128,0.08832499469166238,AIMS|WASL|AKDE&ED|VASoL|MSA|TIMSS|MEAP|NAEP|OHAT|MCAS|FCAT|TAKS|LEAP|CSZ|MEA
0.000295778664398272,0.00605113976260771,3,32,0.029380835655112948,TIMSS|NYSEDREGENTS|VASoL|MCAS|AKDE&ED|TAKS|MSA|OHAT|FCAT|MEA|NAEP|MDSA|WASL|CSZ|NCEOGA|AIMS
0.00018173361170882897,0.0013695607822257188,3,32,0.04704647095062098,OHAT|WASL|FCAT|NCEOGA
0.00017307856881737158,0.001943416492435247,3,64,0.007600782203128387,TIMSS
2.4862040708474362e-05,3.744912805325766e-05,4,32,0.006450482701046068,ACTAAP|MCAS|AIMS|VASoL|OHAT|FCAT|MSA|MEA|TIMSS|NCEOGA|CSZ|WASL|MEAP|AKDE&ED|MDSA|NAEP
0.0001707512684021302,0.006134558770532698,3,128,0.08840460073194767,CSZ|AIMS|MEA|NYSEDREGENTS|MSA|MCAS|AKDE&ED|TIMSS|LEAP|MDSA
3.968352001966437e-05,0.004883771848630036,4,128,0.09623932098626371,MCAS|MEA|TIMSS
0.00015147806872106327,0.0016640647532497111,3,32,0.029429672619662672,OHAT|NCEOGA|CSZ|TIMSS|TAKS|MCAS
3.177690111807768e-05,0.0013535819574451555,3,32,0.027537595649601256,NAEP|LEAP|VASoL|AKDE&ED|NYSEDREGENTS|ACTAAP|TIMSS|WASL|MEA|TAKS|MCAS|MSA|AIMS|NCEOGA|FCAT
4.628241878180543e-05,0.0006287111207017744,2,128,0.07571830580897583,VASoL|CSZ|TAKS|NYSEDREGENTS|AKDE&ED|WASL|MEA|AIMS
3.7506559375269015e-05,0.00021854689956139905,4,32,0.09455498633406868,TAKS|MSA|FCAT|AKDE&ED|NYSEDREGENTS
0.0001374172213635638,0.00911581219644743,4,128,0.005102809800797703,VASoL|AKDE&ED|LEAP|CSZ|MDSA|MEA|MSA|NAEP|NCEOGA|NYSEDREGENTS|MEAP|OHAT|ACTAAP|TIMSS|TAKS|WASL
6.293378068244393e-05,1.1582526403811849e-06,3,64,0.003949023559156883,AKDE&ED|MDSA|MEAP|NYSEDREGENTS|AIMS|TIMSS|ACTAAP|MEA|MCAS|WASL|NCEOGA|CSZ|OHAT|FCAT|NAEP|MSA|LEAP|TAKS|VASoL
0.00020004214387974782,5.523021584448151e-05,2,128,0.0470111293127303,NCEOGA|MEAP|WASL|OHAT|NYSEDREGENTS|ACTAAP|MEA|FCAT|TAKS|TIMSS|MDSA
0.00034182692151556675,5.2038764746042185e-06,3,128,0.047930169799836976,AKDE&ED|AIMS|MEA|TAKS|NYSEDREGENTS|OHAT
0.0006965154532245004,5.069515842770836e-06,4,32,0.033007833234862706,MDSA|OHAT|FCAT|VASoL|LEAP|AKDE&ED|MSA|TAKS|NAEP
3.157899853231995e-05,1.9697269875166517e-06,3,128,0.09949136931408437,AIMS|OHAT|LEAP|MCAS|ACTAAP|NCEOGA|CSZ|FCAT|MEAP|MSA|NAEP|WASL|TIMSS|VASoL|AKDE&ED|NYSEDREGENTS|MDSA
0.0006868473438543905,7.521990014311846e-06,2,64,0.07026234159831668,ACTAAP|TAKS|CSZ|VASoL|NCEOGA|MSA|MCAS|TIMSS|OHAT|MEA|MDSA|MEAP|AKDE&ED|NYSEDREGENTS|NAEP|FCAT|AIMS
0.0008338405886546218,0.004372346399155078,4,128,0.0022532887290154903,ACTAAP|NAEP|TIMSS|AIMS|LEAP|MEA|NCEOGA|WASL|VASoL|MSA|OHAT|TAKS|MCAS|MDSA|AKDE&ED|CSZ|MEAP|FCAT|NYSEDREGENTS
2.4097510554767673e-05,0.0008254242433357782,3,64,0.051855517947517464,NCEOGA|MEA|TIMSS|LEAP|MDSA|NYSEDREGENTS|CSZ|AKDE&ED|AIMS|TAKS|WASL|MCAS
0.0005363133161906092,0.0001728941869228039,2,64,0.05557827407767686,LEAP
0.00016780830982007325,1.0984904489378226e-06,2,128,0.023480461740085713,MSA|NYSEDREGENTS|TAKS|VASoL|LEAP|FCAT|NCEOGA|AKDE&ED|MEA|CSZ|OHAT|MCAS
0.0005206770432797579,0.0010708103946493008,2,64,0.09219170803689605,WASL|NYSEDREGENTS|LEAP|MCAS|MEAP|MEA|CSZ|NCEOGA|OHAT|TAKS|VASoL
5.7691510703349694e-05,0.0005940415436986372,4,128,0.06057976289460507,ACTAAP|NCEOGA|FCAT|CSZ|MCAS|WASL|AKDE&ED|TIMSS|AIMS|VASoL|NAEP|MDSA|TAKS|MSA|OHAT|LEAP|MEA|NYSEDREGENTS
